Jason's answer,Jesse's answer,Allen's answer,Zhekai's answer
"I think you should talk to the PI about this problem and ask for an opportunity to get a three-people talk in person. After then, you should always keep a lab note, clearly indicating who has done which experiment, to avoid the misalignments in information again.","Credit for lab work is often ambiguous as it is oftentimes impossible to achieve a discovery without the help of an entire team. It is true that without his efforts your discovery would not have happened as his work no doubt played a role in your discovery. In that sense, the discovery should not be credited to only you alone, but rather to the entire team. That being said, it is obviously ridiculous that the senior partner decided to take credit for your discovery and even more preposterous when he laughed in your face. Consequently, you should immediately get your PI involved as, although credit for the discovery should go to the team, within the team, you should deserve the credit.","I think your contribution to the result cannot be ignored, because even though the project is this postdoc's, your contribution should be marked on this work of synthesizing the key compound. So for now, first of all, you should give your feedback to the PI to fight for your intellectual rights, and if the PI doesn't recognize your point of view either, then you should give your feedback to a higher leader in the lab and make it known to a wider audience to get support.","I should, because of the key procedures and results are my work. People who come up with an idea and people who do the work are all coontributors."
"I think student A contributed to most of the project, though the early stage idea is from student B. Student A shouldn't act as not knowing and add student B into the acknowledgment and thanks of the project paper. Meanwhile, the plagiarism claim from student B also doesn't stand because doing research is always a kind of racing: whoever gets the outcome first is the king. Student A and B should build up trust between each other again, or select to talk less about their possible personal project ideas.","In the scenario, it seems like in Student A and Student B¡¯s original conversation, Student B suggested an idea that maybe was not fully formed or, at the very least, was unable to identify the value of the idea. As such, this scenario should be determined plagiarism depending on the degree of which Student A copied and the how much of an idea Student B actually gave. If Student A was simply inspired by Student B¡¯s set of words, it would be hard to justify plagiarism. However, if Student B feels as if Student A basically took her idea, Student B should start to collect evidence and open a case to her school board. On a side note, it is imperative that Student A should not have kept Student B in the dark.","I think it is difficult to judge whether the situation is academic plagiarism from the information we already have, because in that description, Student B told Student A about a relatively novel experimental idea, but it is difficult to judge what percent of Student A's final output was Student A's own contribution. However, although it is difficult to determine whether the situation is academic plagiarism, in principle, Student A should not have started the project in secret without telling Student B, and should have mentioned Student B in the acknowledgements of his paper.","The behaviour of student A is improper. Student A should first tell student B and get her approval. Also, this must be mentioned in the acknowledgement."
"I think it's appropriate for David to list him as the first author. And it's also appropriate for David to rewrite all the manuscripts without informing the original technician, because the technician had chosen to leave the group abandoning his original work. But I think the PI still need to inform the original author(the technician) about the changes made to the paper and the author placement.","Since it sounds like the technician sort of ¡°threw away¡± the paper, I believe it is fine for David to replace the original manuscript with a reformed one. The moment the technician left the lab, it was his responsibility to keep in touch with David and contact and aid him with respect to the paper. Unless the technically specifically request to be contacted, he should not be surprised that his rejected paper was revamped and upgraded. In addition, it seems as though David changed a significant portion of the pape, as such, it is not ridiculous to label himself as the main author. That being said, credit should still be given to the technician no doubt.","Since David almost rewrote the manuscript, it is reasonable for him to replace the original author as the first author. Since the technician had left the laboratory before rewriting the manuscript, I think David has no obligation to inform the technician of the revision of the manuscript and does not need to obtain his permission in advance. But I think the name of the technician should be mentioned in the acknowledgments/contributions to show recognition and respect for his previous work.",I think David's behaviour should be known by that technician and be agreed. It's improper for David to directly be the first author and change everything without the technician's approval.
"I think it's appropriate for the PI to stop his research in the old school after he moved to a new school, but the previous projects should at least get the original author/students informed of the changes in authors and projects, while trying to complete online research with the students still want to participate in.","This is not ethical at all. Authorship of a paper should not change based on his switch to his university. The moment he switched, he should no longer have the presumptive authority as a PI in his old lab and should therefore not have a say in any research conducted there. Furthermore, editing manuscripts that came from the old lab should come with notifications to the older team. ","I don't think this is ethical. First of all, the PI can decide to rewrite a manuscript that has already been prepared, but he should not adjust the order of authors based on whether the author is a new member. In addition, I also think that the PI does not have absolute authority over previous work.",It's improper. Everything should be fair. He should not be too harsh on members of his old lab who do not join him after that.
"Although every advisor like Dr. Big will expect his postdocs to have a nice job in the future, he is not responsible for his students and doing this would harm Dee when she find herself incapable of the work she has been assigned at work. George should follow his own will of doing this for Dr. Big, but it's wrong for Dr. Big to do all those things for Dee.","To glorify a person during any application or instance where you have to market yourself in almost common practice today. We must, however, draw a hard line between glorification and fabrication, the former being relatively expected while the latter is within the realms of unethical. In this scenario, I believe George should evaluate if her qualities were ¡°embellished¡± or misleading to the point where it¡¯s basically deception. Of course, the company that would want to hire her will need to do the due diligence to analyze whether her application is fitting or not.","There is no doubt that Dr. Bigs' behavior was unethical, including but not limited to designating the first author of the paper instead of the contribution to the paper according to his own will and falsifying/exaggerating the content of the recommendation letter. For George, it is obviously not a decent thing to remain silent, and it also damages his academic reputation as a member of the laboratory.",Dr. Big should not behave like that. He should be fair and honest to Dee Nye. Who is the first author and issues like recommendation letters should be completely true and honest.
"There definitely need to have patients who contribute to the mass public to let doctors/researchers to do the lung research to increase the chance of survivals on future surgeries, at the risk of his own live. But doing this type of things still need to have the patients agreement and not to do it secretly without the permission of the patient or patient's family.","In the first dilemma, it seems highly debatable on what method saves the most lives. As such, it seems the root of the problem is the lack of research or understanding within the subject matter; it seems both the aggressive follow-up and the alternative have their pros and cons. As for the second dilemma, the original poster is exactly correct on the medical field being ¡°hardly a perfect science.¡± As such, when it comes to dangerous data collection, two questions must be asked: how potential risks and what are the benefits? Which side simply outweighs the other?","I think the key point in both of the above ethical issues is whether the patient is informed. I don't think transplant personnel can choose the ""more ethical"" option for the patient in these two issues. Instead, what transplant personnel can do is to inform the patient of all the pros and cons, risks, and various possible situations of their plan.",It reflects the conflicts between patients and long-term scientific progress. I think it's necessary to prior patients' health.
"We have to discuss the problem clear: if Dr. Smith is sharing a in group or in university research from his friend professors or other lab members, Dr. Smith should still ask for his student's permission to share the experiment results. If Dr Smith is actually reviewing for a conference or journal and sent others research work to his lab member, that should be banned and it's really bad.","It¡¯s hard to know the ethical implications without any further knowledge of Dr. Smith¡¯s mysterious manuscript and what he really means by ¡°I¡¯ve got a ton of them.¡± Naturally, if this means that he has many unsubmitted/scrapped papers that he is just holding onto, it is his right to give his work and manuscripts away to Jane as it is his intellectual property. On the flip side, if this was not his paper, say one of his students wrote it, this is where it becomes highly unethical. Without explicit notification to the original author of the paper, Dr. Smith should not share any of the information to an outside source.","I think Dr. Smith's behavior is undoubtedly against academic ethics. We may speculate that the rationale for the manuscript she gave to Jane came from Dr. Smith's own manuscript, but if this speculation is true, then she would not ask Jane not to tell anyone about the existence of the manuscript and not to copy it. The only reasonable explanation is that Dr. Smith is a reviewer of a journal, and the manuscript is an academic article that the contributor surrenders to the journal. In this case, Dr. Smith's behavior is very unethical.",Dr. Smith must tell the author before doing so.
Dr Smith is too keen on finding research results that match his schedule and direction so that he deliberately force the patients and his lab members to do experiments outside the scope of what has been told to the test patients. This is strongly unethical way of treating things. Research and papers are not the only thing. It is right to leave the lab. You should also work with your friends to unveil the nasty behavior of Dr Smith.,"It seems plainly obvious that Dr. Smith was well aware of his unethical practices. There are plenty of laws regulating consent for medical tests in which making a decision for someone because they entered a facility is definitely not one of them. When it comes to the grant, again, Dr. Smith is very well aware of his shadiness. He is no doubt offering a misleading narrative and even arguably threatening his employees. Although it is true that patient confidentiality remains an utmost concern, it seems like he didn¡¯t even get formal consent.","Dr. Smith's behavior is undoubtedly unethical. Patients should be informed of all information and risks before participating in any medical procedures and whether to participate in medical research, but Dr. Smith made the decision for them. In addition, Dr. Smith even threatened his team not to disclose the incident.","Dr. Smith has the power-of-attorney, but should make decisions based on what's good for them, instead of his own research. The research must be done in a fair and honest way."
"I think it's OK as long as you, as the subject, was strictly following the setup and the experiment of your planning and don't secretly edit the result. But only one person isn't enough, you still need to find more subjects for your experiment.","When recruiting yourself for your own study, ethical concerns only arise if the situation actually creates a conflict of interest. In other words, if you yourself are expecting an outcome or contain bias about your own experiment, using yourself will lead to not just biased results, but also ethical concerns. Consequently, whether recruiting yourself is unethical or not is heavily dependent on the specific scenario. In the original poster's case, it seems perfectly clear that using himself would not arise any problems, as long as it was mentioned in the abstract. Of course, reproducibility is a large part of experiments, so it is expected that he can reproduce himself with those later subjects.","I think recruiting yourself for an experiment is not unethical in itself, but what is really unethical is recruiting yourself in order to make your own experiment present the desired results and influence the content of the experiment. But no matter what, recruiting yourself can only provide a subject for your own research, which is far from enough in most cases.",One can only participate in his own experiment only if knowing the contents in advance does not influence the outcomes.
"I think it's more down to a religious behavior and hope in their heart of the experiment going on as they planned. Normally it won't affect the results of the experiment, and I think it's okay for them to do so. This is still ethical.","Whether spirituality in the lab is ethical seems rather context dependent more so than black and white answers. The prayer and religion itself do not raise any ethical concerns, but, in the event where it affects the outcomes of the study, due to being overly hopeful, for example, it can raise some ethical concerns. Furthermore, if it¡¯s praying for exactly one outcome from the experiment, this could cause a plethora of different biases that will affect the study. Of course, you could really argue this about anything, as such, the prayer itself should be deemed ethical as long as the outcome isn¡¯t skewed.","I think the key to this matter is not to pray for the experimental results themselves. If, as described in the text, these researchers did not directly affect the experimental results, then this matter would not be so ethical. But in fact, I think this kind of prayer behavior is a reflection of the inner expectations of the experimental results. If the researchers intervene in the experimental data to a certain extent because of their obsession, then this is undoubtedly unethical, but this matter is actually irrelevant to the prayer itself.","I think praying in this way doesn't really influence the outcome, it's just hoping for the expected outcome. It's their right to do so."
